mandate_id,payer_id,attempt_number,attempt_date,day_of_month,day_of_week,hour_of_day,is_salary_window,bank_name,payer_historical_success_rate,payer_tenure_months,subscription_amount,amount_tier,prior_failure_reason,retries_used_so_far
active_mandate_00000,payer_00000,1,2026-07-22,22,2,9,False,Bank D (Tier2),0.764,30,4999.0,high,,0
active_mandate_00001,payer_00001,1,2026-07-29,29,2,10,True,Bank A (Tier1),0.244,18,2499.0,high,,0
active_mandate_00002,payer_00002,1,2026-07-28,28,1,13,True,Bank E (Tier2),0.504,20,199.0,low,,0
active_mandate_00003,payer_00003,1,2026-07-28,28,1,6,True,Bank F (Tier2),0.808,25,499.0,low,,0
active_mandate_00004,payer_00004,1,2026-07-26,26,6,6,False,Bank B (Tier1),0.596,1,2499.0,high,,0
active_mandate_00005,payer_00005,1,2026-07-27,27,0,15,False,Bank B (Tier1),0.869,23,999.0,medium,,0
active_mandate_00006,payer_00006,1,2026-07-31,31,4,8,True,Bank C (Tier1),0.662,25,4999.0,high,,0
active_mandate_00007,payer_00007,1,2026-07-30,30,3,8,True,Bank D (Tier2),0.227,10,1499.0,medium,,0
active_mandate_00008,payer_00008,1,2026-07-25,25,5,13,False,Bank F (Tier2),0.613,33,199.0,low,,0
active_mandate_00009,payer_00009,1,2026-07-30,30,3,17,True,Bank G (Tier3),0.543,4,999.0,medium,,0
active_mandate_00010,payer_00010,1,2026-08-01,1,5,10,True,Bank E (Tier2),0.808,11,199.0,low,,0
active_mandate_00011,payer_00011,1,2026-07-24,24,4,21,False,Bank G (Tier3),0.284,15,4999.0,high,,0
active_mandate_00012,payer_00012,1,2026-07-26,26,6,15,False,Bank C (Tier1),0.32,36,999.0,medium,,0
active_mandate_00013,payer_00013,1,2026-07-29,29,2,10,True,Bank E (Tier2),0.676,1,299.0,low,,0
active_mandate_00014,payer_00014,1,2026-07-22,22,2,6,False,Bank F (Tier2),0.225,1,999.0,medium,,0
active_mandate_00015,payer_00015,1,2026-07-25,25,5,13,False,Bank D (Tier2),0.801,30,1499.0,medium,,0
active_mandate_00016,payer_00016,1,2026-07-24,24,4,11,False,Bank G (Tier3),0.891,14,299.0,low,,0
active_mandate_00017,payer_00017,1,2026-07-31,31,4,21,True,Bank F (Tier2),0.568,35,4999.0,high,,0
active_mandate_00018,payer_00018,1,2026-07-31,31,4,9,True,Bank D (Tier2),0.152,14,2499.0,high,,0
active_mandate_00019,payer_00019,1,2026-07-22,22,2,6,False,Bank G (Tier3),0.523,2,299.0,low,,0
active_mandate_00020,payer_00020,1,2026-07-26,26,6,14,False,Bank C (Tier1),0.242,14,1499.0,medium,,0
active_mandate_00021,payer_00021,1,2026-07-29,29,2,22,True,Bank H (Tier3),0.631,35,499.0,low,,0
active_mandate_00022,payer_00022,1,2026-07-22,22,2,15,False,Bank B (Tier1),0.503,32,2499.0,high,,0
active_mandate_00023,payer_00023,1,2026-07-26,26,6,18,False,Bank D (Tier2),0.418,2,4999.0,high,,0
active_mandate_00024,payer_00024,1,2026-07-29,29,2,9,True,Bank H (Tier3),0.475,36,1499.0,medium,,0
active_mandate_00025,payer_00025,1,2026-07-28,28,1,13,True,Bank H (Tier3),0.321,1,299.0,low,,0
active_mandate_00026,payer_00026,1,2026-07-29,29,2,10,True,Bank C (Tier1),0.855,36,299.0,low,,0
active_mandate_00027,payer_00027,1,2026-08-01,1,5,18,True,Bank B (Tier1),0.155,16,4999.0,high,,0
active_mandate_00028,payer_00028,1,2026-07-22,22,2,10,False,Bank D (Tier2),0.517,28,4999.0,high,,0
active_mandate_00029,payer_00029,1,2026-07-29,29,2,21,True,Bank E (Tier2),0.478,32,2499.0,high,,0
active_mandate_00030,payer_00030,1,2026-07-27,27,0,20,False,Bank B (Tier1),0.694,30,2499.0,high,,0
active_mandate_00031,payer_00031,1,2026-07-29,29,2,7,True,Bank D (Tier2),0.081,20,199.0,low,,0
active_mandate_00032,payer_00032,1,2026-07-30,30,3,17,True,Bank E (Tier2),0.811,12,1499.0,medium,,0
active_mandate_00033,payer_00033,1,2026-07-31,31,4,22,True,Bank E (Tier2),0.464,13,199.0,low,,0
active_mandate_00034,payer_00034,1,2026-07-23,23,3,10,False,Bank H (Tier3),0.352,2,199.0,low,,0
active_mandate_00035,payer_00035,1,2026-07-22,22,2,19,False,Bank C (Tier1),0.409,18,199.0,low,,0
active_mandate_00036,payer_00036,1,2026-07-25,25,5,21,False,Bank E (Tier2),0.425,19,999.0,medium,,0
active_mandate_00037,payer_00037,1,2026-07-30,30,3,9,True,Bank E (Tier2),0.566,26,1499.0,medium,,0
active_mandate_00038,payer_00038,1,2026-07-22,22,2,22,False,Bank E (Tier2),0.376,1,2499.0,high,,0
active_mandate_00039,payer_00039,1,2026-07-26,26,6,6,False,Bank G (Tier3),0.834,4,1499.0,medium,,0
active_mandate_00040,payer_00040,1,2026-07-27,27,0,20,False,Bank D (Tier2),0.742,2,999.0,medium,,0
active_mandate_00041,payer_00041,1,2026-07-27,27,0,11,False,Bank H (Tier3),0.585,4,199.0,low,,0
active_mandate_00042,payer_00042,1,2026-07-26,26,6,20,False,Bank E (Tier2),0.905,10,199.0,low,,0
active_mandate_00043,payer_00043,1,2026-07-24,24,4,19,False,Bank F (Tier2),0.391,25,199.0,low,,0
active_mandate_00044,payer_00044,1,2026-07-25,25,5,11,False,Bank E (Tier2),0.51,30,199.0,low,,0
active_mandate_00045,payer_00045,1,2026-07-22,22,2,18,False,Bank B (Tier1),0.879,8,1499.0,medium,,0
active_mandate_00046,payer_00046,1,2026-07-25,25,5,21,False,Bank B (Tier1),0.588,28,2499.0,high,,0
active_mandate_00047,payer_00047,1,2026-08-01,1,5,10,True,Bank E (Tier2),0.672,29,1499.0,medium,,0
active_mandate_00048,payer_00048,1,2026-07-31,31,4,10,True,Bank C (Tier1),0.448,16,499.0,low,,0
active_mandate_00049,payer_00049,1,2026-07-25,25,5,21,False,Bank F (Tier2),0.743,22,299.0,low,,0
active_mandate_00050,payer_00050,1,2026-07-29,29,2,7,True,Bank G (Tier3),0.787,17,2499.0,high,,0
active_mandate_00051,payer_00051,1,2026-07-27,27,0,10,False,Bank A (Tier1),0.511,20,999.0,medium,,0
active_mandate_00052,payer_00052,1,2026-07-30,30,3,13,True,Bank H (Tier3),0.347,36,499.0,low,,0
active_mandate_00053,payer_00053,1,2026-07-26,26,6,18,False,Bank G (Tier3),0.533,2,4999.0,high,,0
active_mandate_00054,payer_00054,1,2026-07-24,24,4,15,False,Bank G (Tier3),0.28,20,299.0,low,,0
active_mandate_00055,payer_00055,1,2026-07-27,27,0,11,False,Bank C (Tier1),0.191,14,199.0,low,,0
active_mandate_00056,payer_00056,1,2026-07-23,23,3,21,False,Bank E (Tier2),0.523,36,199.0,low,,0
active_mandate_00057,payer_00057,1,2026-07-22,22,2,9,False,Bank E (Tier2),0.621,26,1499.0,medium,,0
active_mandate_00058,payer_00058,1,2026-07-30,30,3,17,True,Bank F (Tier2),0.333,31,199.0,low,,0
active_mandate_00059,payer_00059,1,2026-07-27,27,0,11,False,Bank F (Tier2),0.739,2,2499.0,high,,0
