mandate_id,true_probability_at_first_attempt,payer_archetype
active_mandate_00000,0.6202,moderate
active_mandate_00001,0.4972,unreliable
active_mandate_00002,0.3386,moderate
active_mandate_00003,0.395,moderate
active_mandate_00004,0.7408,unreliable
active_mandate_00005,0.3333,reliable
active_mandate_00006,0.5033,unreliable
active_mandate_00007,0.7188,reliable
active_mandate_00008,0.3788,reliable
active_mandate_00009,0.3024,reliable
active_mandate_00010,0.6504,reliable
active_mandate_00011,0.2625,unreliable
active_mandate_00012,0.6979,reliable
active_mandate_00013,0.4182,reliable
active_mandate_00014,0.1916,moderate
active_mandate_00015,0.148,unreliable
active_mandate_00016,0.9117,reliable
active_mandate_00017,0.7642,moderate
active_mandate_00018,0.3654,moderate
active_mandate_00019,0.4247,reliable
active_mandate_00020,0.5935,reliable
active_mandate_00021,0.9075,reliable
active_mandate_00022,0.5705,moderate
active_mandate_00023,0.3351,unreliable
active_mandate_00024,0.294,unreliable
active_mandate_00025,0.6486,moderate
active_mandate_00026,0.685,reliable
active_mandate_00027,0.4378,reliable
active_mandate_00028,0.679,unreliable
active_mandate_00029,0.3291,unreliable
active_mandate_00030,0.4508,reliable
active_mandate_00031,0.2628,moderate
active_mandate_00032,0.8221,moderate
active_mandate_00033,0.5801,reliable
active_mandate_00034,0.3867,unreliable
active_mandate_00035,0.6096,moderate
active_mandate_00036,0.4515,moderate
active_mandate_00037,0.7441,moderate
active_mandate_00038,0.0733,unreliable
active_mandate_00039,0.6243,reliable
active_mandate_00040,0.5963,moderate
active_mandate_00041,0.1106,unreliable
active_mandate_00042,0.835,reliable
active_mandate_00043,0.5091,moderate
active_mandate_00044,0.4996,unreliable
active_mandate_00045,0.292,unreliable
active_mandate_00046,0.8804,reliable
active_mandate_00047,0.3472,reliable
active_mandate_00048,0.8891,reliable
active_mandate_00049,0.592,unreliable
active_mandate_00050,0.2839,unreliable
active_mandate_00051,0.8105,reliable
active_mandate_00052,0.7444,reliable
active_mandate_00053,0.5002,moderate
active_mandate_00054,0.7247,moderate
active_mandate_00055,0.1461,unreliable
active_mandate_00056,0.6052,moderate
active_mandate_00057,0.3098,moderate
active_mandate_00058,0.8325,moderate
active_mandate_00059,0.1893,unreliable
